superficie_m2,nb_chambres,nb_salles_bain,etage,annee_construction,distance_centre_km,parking,prix_dz
44,3,1,4,2005,28.2,1,1500000
117,1,1,7,1996,19.3,1,1567417
56,1,2,0,2010,15.7,0,1500000
40,5,2,7,2006,12.8,0,1500000
174,3,1,0,1994,26.3,0,1800724
104,1,2,2,1992,7.6,0,1500000
237,5,3,10,1978,1.8,1,4239285
239,4,3,15,2010,5.9,0,3985263
56,4,1,9,1982,1.8,0,1590488
119,5,2,15,1986,1.6,0,2624186
113,3,1,10,1987,4.2,1,2170398
152,4,2,5,2001,20.9,1,2443202
244,5,2,2,2016,13.0,1,3799046
179,3,2,3,1975,10.2,1,2647741
118,4,3,13,1980,20.8,1,2020168
130,5,2,8,2010,29.4,0,1990029
59,4,2,5,1971,4.7,1,1661137
239,3,2,12,2006,1.5,0,3859474
213,4,2,11,1998,23.0,0,2906774
206,3,1,3,1971,22.2,1,2586165
172,4,3,3,1986,23.4,1,2566299
217,4,1,3,1978,25.7,1,2920349
84,4,1,10,2012,10.7,0,1713982
116,2,3,5,2020,11.2,0,1925525
71,2,1,7,2020,15.1,1,1500000
245,5,1,2,1974,9.6,1,3716443
174,4,2,2,1978,29.2,0,1937132
128,2,3,5,2019,29.0,1,1788343
168,1,1,4,1989,5.4,1,2511446
172,3,1,8,1982,19.2,1,2415201
72,3,3,2,2002,19.4,0,1500000
194,3,3,1,2022,26.0,0,2616522
51,5,2,6,2019,17.4,0,1500000
114,3,2,7,2021,24.3,1,1845385
116,4,1,1,1980,13.5,1,1865858
76,3,3,10,2016,29.6,1,1500000
142,2,2,3,1990,7.6,0,2089383
64,1,2,12,2009,12.8,0,1500000
248,3,3,10,1982,23.0,1,3525691
118,4,1,2,1995,15.4,0,1796728
95,5,2,1,1973,8.8,1,2018716
67,4,1,8,2016,11.3,1,1744994
133,1,2,1,2006,17.1,1,1763465
169,4,3,8,2022,29.7,0,2386737
72,1,2,11,2020,29.6,1,1500000
170,4,3,1,1972,1.6,1,3008723
245,4,3,14,1979,18.4,0,3501128
81,4,3,9,2007,10.4,1,2162278
221,5,2,15,2022,1.0,1,4188984
189,3,3,0,2008,14.5,0,2514514
224,1,3,15,1980,16.0,1,3220415
48,5,3,3,1982,1.1,1,1949797
147,2,2,6,1996,15.3,1,2306027
55,2,3,6,2005,10.1,1,1500000
174,4,2,5,1999,27.4,1,2355954
224,3,3,15,1982,28.7,1,3042575
182,3,1,9,2019,9.0,0,2835003
162,3,3,8,1988,4.1,1,2874755
141,3,1,9,1972,9.0,0,2092788
105,4,1,6,2022,16.4,1,2099094
75,1,3,7,1985,2.0,0,1500000
145,3,3,15,1976,20.6,0,2121975
41,5,1,13,2011,28.1,1,1500000
113,3,2,1,2019,3.1,0,2145535
176,1,1,13,2023,5.7,0,2776452
166,2,3,9,1972,0.8,0,2696570
125,3,2,15,1978,25.6,1,1861190
124,2,3,14,2011,8.1,0,2414030
43,3,2,6,1981,18.5,1,1500000
62,4,3,3,1981,29.5,1,1500000
122,2,1,8,1994,7.4,1,2167021
225,5,1,8,2011,11.1,0,3542681
55,1,2,9,1980,12.5,1,1500000
115,3,3,7,1984,28.7,1,1512784
79,4,3,11,1996,21.2,1,1708647
95,2,3,2,2003,13.7,1,1530177
59,5,1,1,2023,16.7,0,1500000
123,5,2,3,2013,6.6,1,2642893
63,5,2,1,1999,4.4,1,1872419
158,3,3,0,1995,8.0,0,2478397
230,2,3,2,1972,13.0,0,2932733
57,4,1,9,1996,5.8,0,1500000
236,4,2,12,1998,26.2,1,3299937
209,5,1,11,1977,5.8,1,3704367
175,2,3,7,2023,0.6,0,3115397
